Agent,env_n,explored_states,success
BFSAgent,0,11351,True
BFSAgent,1,9723,True
BFSAgent,2,5709,True
BFSAgent,3,11871,True
BFSAgent,4,13934,True
BFSAgent,5,356,True
BFSAgent,6,12531,True
BFSAgent,7,13125,True
BFSAgent,8,849,True
BFSAgent,9,4733,True
BFSAgent,10,8879,True
BFSAgent,11,7732,True
BFSAgent,12,15503,True
BFSAgent,13,1202,True
BFSAgent,14,13741,True
BFSAgent,15,15406,True
BFSAgent,16,10715,True
BFSAgent,17,3403,True
BFSAgent,18,2355,True
BFSAgent,19,10436,True
BFSAgent,20,15010,True
BFSAgent,21,7125,True
BFSAgent,22,9297,True
BFSAgent,23,2738,True
BFSAgent,24,12732,True
BFSAgent,25,10107,True
BFSAgent,26,11284,True
BFSAgent,27,14817,True
BFSAgent,28,142,True
BFSAgent,29,3357,True
BFSAgent,30,14332,True
BFSAgent,31,4929,True
BFSAgent,32,15764,True
BFSAgent,33,15787,True
BFSAgent,34,4633,True
BFSAgent,35,3995,True
BFSAgent,36,11981,True
BFSAgent,37,4041,True
BFSAgent,38,7848,True
BFSAgent,39,4833,True
BFSAgent,40,12529,True
BFSAgent,41,10375,True
BFSAgent,42,11806,True
BFSAgent,43,5123,True
BFSAgent,44,10488,True
BFSAgent,45,4337,True
BFSAgent,46,1571,True
BFSAgent,47,4634,True
BFSAgent,48,10128,True
BFSAgent,49,1019,True
BFSAgent,50,12903,True
BFSAgent,51,12222,True
BFSAgent,52,14294,True
BFSAgent,53,2700,True
BFSAgent,54,4654,True
BFSAgent,55,2888,True
BFSAgent,56,1222,True
BFSAgent,57,6318,True
BFSAgent,58,15592,True
BFSAgent,59,186,True
BFSAgent,60,5253,True
BFSAgent,61,8170,True
BFSAgent,62,6824,True
BFSAgent,63,6635,True
BFSAgent,64,15840,True
BFSAgent,65,9216,True
BFSAgent,66,6341,True
BFSAgent,67,10060,True
BFSAgent,68,16042,True
BFSAgent,69,880,True
BFSAgent,70,14957,True
BFSAgent,71,11580,True
BFSAgent,72,9084,True
BFSAgent,73,10099,True
BFSAgent,74,15147,True
BFSAgent,75,5728,True
BFSAgent,76,8339,True
BFSAgent,77,14509,True
BFSAgent,78,7178,True
BFSAgent,79,3371,True
BFSAgent,80,11935,True
BFSAgent,81,14810,True
BFSAgent,82,789,True
BFSAgent,83,6668,True
BFSAgent,84,5538,True
BFSAgent,85,5321,True
BFSAgent,86,1537,True
BFSAgent,87,2386,True
BFSAgent,88,11657,True
BFSAgent,89,6082,True
BFSAgent,90,12535,True
BFSAgent,91,11869,True
BFSAgent,92,14492,True
BFSAgent,93,11913,True
BFSAgent,94,5525,True
BFSAgent,95,916,True
BFSAgent,96,5735,True
BFSAgent,97,12620,True
BFSAgent,98,14478,True
BFSAgent,99,14644,True
DFSAgent,0,3515,True
DFSAgent,1,7115,True
DFSAgent,2,6091,True
DFSAgent,3,6367,True
DFSAgent,4,5661,True
DFSAgent,5,5737,True
DFSAgent,6,1634,True
DFSAgent,7,4608,True
DFSAgent,8,5327,True
DFSAgent,9,4903,True
DFSAgent,10,7665,True
DFSAgent,11,15384,True
DFSAgent,12,7467,True
DFSAgent,13,5702,True
DFSAgent,14,1247,True
DFSAgent,15,7440,True
DFSAgent,16,15808,True
DFSAgent,17,4550,True
DFSAgent,18,2596,True
DFSAgent,19,2405,True
DFSAgent,20,8067,True
DFSAgent,21,6783,True
DFSAgent,22,3692,True
DFSAgent,23,5435,True
DFSAgent,24,187,True
DFSAgent,25,1838,True
DFSAgent,26,1561,True
DFSAgent,27,1436,True
DFSAgent,28,4404,True
DFSAgent,29,5109,True
DFSAgent,30,6012,True
DFSAgent,31,5838,True
DFSAgent,32,8364,True
DFSAgent,33,7460,True
DFSAgent,34,5931,True
DFSAgent,35,2905,True
DFSAgent,36,2668,True
DFSAgent,37,268,True
DFSAgent,38,614,True
DFSAgent,39,4936,True
DFSAgent,40,14091,True
DFSAgent,41,13282,True
DFSAgent,42,5914,True
DFSAgent,43,6167,True
DFSAgent,44,7581,True
DFSAgent,45,13402,True
DFSAgent,46,6121,True
DFSAgent,47,4323,True
DFSAgent,48,5673,True
DFSAgent,49,5848,True
DFSAgent,50,1717,True
DFSAgent,51,978,True
DFSAgent,52,8531,True
DFSAgent,53,2732,True
DFSAgent,54,3104,True
DFSAgent,55,10110,True
DFSAgent,56,238,True
DFSAgent,57,489,True
DFSAgent,58,2641,True
DFSAgent,59,3340,True
DFSAgent,60,6082,True
DFSAgent,61,3649,True
DFSAgent,62,2525,True
DFSAgent,63,4257,True
DFSAgent,64,1048,True
DFSAgent,65,3051,True
DFSAgent,66,2597,True
DFSAgent,67,4633,True
DFSAgent,68,551,True
DFSAgent,69,7251,True
DFSAgent,70,1781,True
DFSAgent,71,5369,True
DFSAgent,72,11515,True
DFSAgent,73,3518,True
DFSAgent,74,1133,True
DFSAgent,75,4341,True
DFSAgent,76,4409,True
DFSAgent,77,379,True
DFSAgent,78,1996,True
DFSAgent,79,1959,True
DFSAgent,80,2552,True
DFSAgent,81,1139,True
DFSAgent,82,7213,True
DFSAgent,83,319,True
DFSAgent,84,7759,True
DFSAgent,85,7445,True
DFSAgent,86,2921,True
DFSAgent,87,7356,True
DFSAgent,88,13550,True
DFSAgent,89,15317,True
DFSAgent,90,7654,True
DFSAgent,91,552,True
DFSAgent,92,8282,True
DFSAgent,93,6795,True
DFSAgent,94,7395,True
DFSAgent,95,1894,True
DFSAgent,96,3067,True
DFSAgent,97,19,True
DFSAgent,98,1141,True
DFSAgent,99,2167,True
AStarAgent,0,105,True
AStarAgent,1,67,True
AStarAgent,2,78,True
AStarAgent,3,105,True
AStarAgent,4,115,True
AStarAgent,5,12,True
AStarAgent,6,99,True
AStarAgent,7,123,True
AStarAgent,8,19,True
AStarAgent,9,40,True
AStarAgent,10,82,True
AStarAgent,11,84,True
AStarAgent,12,156,True
AStarAgent,13,21,True
AStarAgent,14,103,True
AStarAgent,15,675,True
AStarAgent,16,100,True
AStarAgent,17,37,True
AStarAgent,18,30,True
AStarAgent,19,80,True
AStarAgent,20,257,True
AStarAgent,21,71,True
AStarAgent,22,87,True
AStarAgent,23,33,True
AStarAgent,24,284,True
AStarAgent,25,77,True
AStarAgent,26,101,True
AStarAgent,27,121,True
AStarAgent,28,10,True
AStarAgent,29,40,True
AStarAgent,30,137,True
AStarAgent,31,45,True
AStarAgent,32,11382,True
AStarAgent,33,121,True
AStarAgent,34,63,True
AStarAgent,35,40,True
AStarAgent,36,160,True
AStarAgent,37,369,True
AStarAgent,38,83,True
AStarAgent,39,52,True
AStarAgent,40,108,True
AStarAgent,41,104,True
AStarAgent,42,90,True
AStarAgent,43,68,True
AStarAgent,44,75,True
AStarAgent,45,49,True
AStarAgent,46,28,True
AStarAgent,47,53,True
AStarAgent,48,69,True
AStarAgent,49,25,True
AStarAgent,50,90,True
AStarAgent,51,69,True
AStarAgent,52,113,True
AStarAgent,53,36,True
AStarAgent,54,66,True
AStarAgent,55,32,True
AStarAgent,56,83,True
AStarAgent,57,241,True
AStarAgent,58,172,True
AStarAgent,59,43,True
AStarAgent,60,43,True
AStarAgent,61,62,True
AStarAgent,62,71,True
AStarAgent,63,174,True
AStarAgent,64,119,True
AStarAgent,65,177,True
AStarAgent,66,35,True
AStarAgent,67,84,True
AStarAgent,68,111,True
AStarAgent,69,33,True
AStarAgent,70,238,True
AStarAgent,71,105,True
AStarAgent,72,97,True
AStarAgent,73,25,True
AStarAgent,74,41,True
AStarAgent,75,32,True
AStarAgent,76,68,True
AStarAgent,77,139,True
AStarAgent,78,76,True
AStarAgent,79,57,True
AStarAgent,80,124,True
AStarAgent,81,99,True
AStarAgent,82,23,True
AStarAgent,83,74,True
AStarAgent,84,39,True
AStarAgent,85,147,True
AStarAgent,86,62,True
AStarAgent,87,82,True
AStarAgent,88,112,True
AStarAgent,89,95,True
AStarAgent,90,188,True
AStarAgent,91,26,True
AStarAgent,92,283,True
AStarAgent,93,128,True
AStarAgent,94,11,True
AStarAgent,95,23,True
AStarAgent,96,47,True
AStarAgent,97,137,True
AStarAgent,98,247,True
AStarAgent,99,152,True
